index,PSCT,ticker
2016-02-29 00:00:00+00:00,23.1181097158,SCHG
2016-03-31 00:00:00+00:00,24.7072820158,SCHG
2016-04-29 00:00:00+00:00,24.5988753988,SCHG
2016-01-29 00:00:00+00:00,34.3561164715,EUSA
2016-02-29 00:00:00+00:00,34.860509697,EUSA
2016-03-31 00:00:00+00:00,37.5127349923,EUSA
2016-04-29 00:00:00+00:00,38.084699562,EUSA
2016-01-29 00:00:00+00:00,28.6257173789,PSCF
2016-02-29 00:00:00+00:00,28.8839488437,PSCF
2016-03-31 00:00:00+00:00,31.314393893,PSCF
2016-04-29 00:00:00+00:00,31.8458290425,PSCF
2016-01-29 00:00:00+00:00,89.7780687019,VOOG
2016-02-29 00:00:00+00:00,89.0942016338,VOOG
2016-03-31 00:00:00+00:00,95.1543698095,VOOG
2016-04-29 00:00:00+00:00,93.8642961418,VOOG
2016-01-29 00:00:00+00:00,45.9988265376,VIOG
2016-02-29 00:00:00+00:00,46.1224432043,VIOG
2016-03-31 00:00:00+00:00,49.4511883312,VIOG
2016-04-29 00:00:00+00:00,49.5287002133,VIOG
2016-01-29 00:00:00+00:00,39.5197560793,IVOO
2016-02-29 00:00:00+00:00,40.0469244286,IVOO
2016-03-31 00:00:00+00:00,43.5016385515,IVOO
2016-04-29 00:00:00+00:00,44.0391382041,IVOO
2016-01-29 00:00:00+00:00,43.2066651457,IVOG
2016-02-29 00:00:00+00:00,43.4291171383,IVOG
2016-03-31 00:00:00+00:00,46.4423467266,IVOG
2016-04-29 00:00:00+00:00,46.7809695103,IVOG
2016-01-29 00:00:00+00:00,38.2026340683,VIOV
2016-02-29 00:00:00+00:00,39.0717691066,VIOV
2016-03-31 00:00:00+00:00,42.7437770286,VIOV
2016-04-29 00:00:00+00:00,43.7072200111,VIOV
2016-01-29 00:00:00+00:00,67.4372617256,VOOV
2016-02-29 00:00:00+00:00,67.9542779525,VOOV
2016-03-31 00:00:00+00:00,72.7358377234,VOOV
2016-04-29 00:00:00+00:00,74.1618661415,VOOV
2016-01-29 00:00:00+00:00,153.9690729439,VOO
2016-02-29 00:00:00+00:00,153.648574733,VOO
2016-03-31 00:00:00+00:00,164.2080793295,VOO
2016-04-29 00:00:00+00:00,164.7828424413,VOO
2016-01-29 00:00:00+00:00,36.1773922332,IVOV
2016-02-29 00:00:00+00:00,37.0785775727,IVOV
2016-03-31 00:00:00+00:00,40.7977068728,IVOV
2016-04-29 00:00:00+00:00,41.4965504526,IVOV
2016-01-29 00:00:00+00:00,39.7985775268,EWMC
2016-02-29 00:00:00+00:00,40.5432268881,EWMC
2016-03-31 00:00:00+00:00,44.3100157293,EWMC
2016-04-29 00:00:00+00:00,45.2187527213,EWMC
2016-01-29 00:00:00+00:00,33.0475437752,SCHM
2016-02-29 00:00:00+00:00,33.4110933579,SCHM
2016-03-31 00:00:00+00:00,36.1662400483,SCHM
2016-04-29 00:00:00+00:00,36.6901302027,SCHM
2016-01-29 00:00:00+00:00,42.0761743086,VIOO
2016-02-29 00:00:00+00:00,42.5394936261,VIOO
2016-03-31 00:00:00+00:00,46.2206930655,VIOO
2016-04-29 00:00:00+00:00,46.6416630444,VIOO
2016-01-29 00:00:00+00:00,22.1260330693,VONG
2016-02-29 00:00:00+00:00,22.1375366739,VONG
2016-03-31 00:00:00+00:00,23.63501772,VONG
2016-04-29 00:00:00+00:00,23.4133961434,VONG
2016-01-29 00:00:00+00:00,33.7021076239,VONV
2016-02-29 00:00:00+00:00,33.7353567127,VONV
2016-03-31 00:00:00+00:00,36.1814952259,VONV
2016-04-29 00:00:00+00:00,36.846027713,VONV
2016-01-29 00:00:00+00:00,45.5846700791,XTL
2016-02-29 00:00:00+00:00,49.5522582621,XTL
2016-03-31 00:00:00+00:00,51.9110352127,XTL
2016-04-29 00:00:00+00:00,51.7364832204,XTL
2016-01-29 00:00:00+00:00,54.7450884872,HDV
2016-02-29 00:00:00+00:00,55.2739905532,HDV
2016-03-31 00:00:00+00:00,58.6197406433,HDV
2016-04-29 00:00:00+00:00,59.2509492337,HDV
2016-01-29 00:00:00+00:00,85.1091912264,VTWG
2016-02-29 00:00:00+00:00,84.6847300045,VTWG
2016-03-31 00:00:00+00:00,91.008374244,VTWG
2016-04-29 00:00:00+00:00,91.9344269869,VTWG
2016-01-29 00:00:00+00:00,77.3612450675,VONE
2016-02-29 00:00:00+00:00,77.3087908387,VONE
2016-03-31 00:00:00+00:00,82.8019548631,VONE
2016-04-29 00:00:00+00:00,83.1005301591,VONE
2016-01-29 00:00:00+00:00,28.5975933784,SPGP
2016-02-29 00:00:00+00:00,28.404428547,SPGP
2016-03-31 00:00:00+00:00,30.2827265746,SPGP
2016-04-29 00:00:00+00:00,30.2716885843,SPGP
2016-01-29 00:00:00+00:00,31.8332421132,SPLV
2016-02-29 00:00:00+00:00,32.1467904759,SPLV
2016-03-31 00:00:00+00:00,34.0724782718,SPLV
2016-04-29 00:00:00+00:00,33.8008350133,SPLV
2016-01-29 00:00:00+00:00,26.7308975356,FNY
2016-02-29 00:00:00+00:00,26.5347794319,FNY
2016-03-31 00:00:00+00:00,28.3272163146,FNY
2016-04-29 00:00:00+00:00,28.337028305,FNY
2016-01-29 00:00:00+00:00,22.3677918991,SPVM
2016-02-29 00:00:00+00:00,22.4061217066,SPVM
2016-03-31 00:00:00+00:00,24.0449990903,SPVM
2016-04-29 00:00:00+00:00,24.4847471368,SPVM
2016-01-29 00:00:00+00:00,21.8344225911,FNK
2016-02-29 00:00:00+00:00,22.1625512736,FNK
2016-03-31 00:00:00+00:00,24.7131317339,FNK
2016-04-29 00:00:00+00:00,25.0851007739,FNK
2016-01-29 00:00:00+00:00,35.4426091963,USMV
2016-02-29 00:00:00+00:00,35.8121611351,USMV
2016-03-31 00:00:00+00:00,37.9368631177,USMV
2016-04-29 00:00:00+00:00,37.798691069,USMV
2016-01-29 00:00:00+00:00,29.0855334795,SCHD
2016-02-29 00:00:00+00:00,29.301668017,SCHD
2016-03-31 00:00:00+00:00,31.176515821,SCHD
2016-04-29 00:00:00+00:00,31.1220794003,SCHD
2016-01-29 00:00:00+00:00,46.8477929636,DBLV
2016-02-29 00:00:00+00:00,48.2067435338,DBLV
2016-03-31 00:00:00+00:00,51.2591415617,DBLV
2016-04-29 00:00:00+00:00,50.438849467,DBLV
2016-01-29 00:00:00+00:00,67.1270920929,RTH
2016-02-29 00:00:00+00:00,67.0082669026,RTH
2016-03-31 00:00:00+00:00,70.5181802147,RTH
2016-04-29 00:00:00+00:00,69.5767190919,RTH
2016-01-29 00:00:00+00:00,24.8580157502,MOAT
2016-02-29 00:00:00+00:00,26.1791916874,MOAT
2016-03-31 00:00:00+00:00,27.8261370338,MOAT
