TICKER,Sector,Percentage of portfolio,Percentage of sector
PRGNF,Industrials,4.7054394880481836e-05,0.000564652738565782
ALGT,Industrials,4.7054394880481836e-05,0.000564652738565782
GOL,Industrials,4.7054394880481836e-05,0.000564652738565782
ENS,Industrials,4.7054394880481836e-05,0.000564652738565782
AIMC,Industrials,4.7054394880481836e-05,0.000564652738565782
TAKD,Industrials,4.7054394880481836e-05,0.000564652738565782
BLDR,Industrials,4.7054394880481836e-05,0.000564652738565782
SP,Industrials,4.7054394880481836e-05,0.000564652738565782
JOBS,Industrials,4.7054394880481836e-05,0.000564652738565782
TITN,Industrials,4.7054394880481836e-05,0.000564652738565782
TGH,Industrials,4.7054394880481836e-05,0.000564652738565782
EJPRY,Industrials,4.7054394880481836e-05,0.000564652738565782
AWI,Industrials,4.7054394880481836e-05,0.000564652738565782
IGSC,Industrials,4.7054394880481836e-05,0.000564652738565782
DPSGY,Industrials,4.7054394880481836e-05,0.000564652738565782
HURN,Industrials,4.7054394880481836e-05,0.000564652738565782
FNRG,Industrials,4.7054394880481836e-05,0.000564652738565782
NMM,Industrials,4.7054394880481836e-05,0.000564652738565782
OESX,Industrials,4.7054394880481836e-05,0.000564652738565782
DDDX,Industrials,4.7054394880481836e-05,0.000564652738565782
ESIV,Industrials,4.7054394880481836e-05,0.000564652738565782
RAIL,Industrials,4.7054394880481836e-05,0.000564652738565782
TOTDF,Industrials,4.7054394880481836e-05,0.000564652738565782
GTGP,Industrials,4.7054394880481836e-05,0.000564652738565782
TOSYY,Industrials,4.7054394880481836e-05,0.000564652738565782
ORN,Industrials,4.7054394880481836e-05,0.000564652738565782
TSSI,Industrials,4.7054394880481836e-05,0.000564652738565782
CHSTY,Industrials,4.7054394880481836e-05,0.000564652738565782
MIC,Industrials,4.7054394880481836e-05,0.000564652738565782
HOKUQ,Industrials,4.7054394880481836e-05,0.000564652738565782
FTRK,Industrials,4.7054394880481836e-05,0.000564652738565782
JSGRY,Industrials,4.7054394880481836e-05,0.000564652738565782
CFRI,Industrials,4.7054394880481836e-05,0.000564652738565782
BLGVF,Industrials,4.7054394880481836e-05,0.000564652738565782
IBIBF,Industrials,4.7054394880481836e-05,0.000564652738565782
CAI,Industrials,4.7054394880481836e-05,0.000564652738565782
AIRYY,Industrials,4.7054394880481836e-05,0.000564652738565782
FANUY,Industrials,4.7054394880481836e-05,0.000564652738565782
FGROY,Industrials,4.7054394880481836e-05,0.000564652738565782
FINMY,Industrials,4.7054394880481836e-05,0.000564652738565782
THLEF,Industrials,4.7054394880481836e-05,0.000564652738565782
GPAEF,Industrials,4.7054394880481836e-05,0.000564652738565782
CMHHY,Industrials,4.7054394880481836e-05,0.000564652738565782
ULH,Industrials,4.7054394880481836e-05,0.000564652738565782
MNTX,Industrials,4.7054394880481836e-05,0.000564652738565782
KHDHF,Industrials,4.7054394880481836e-05,0.000564652738565782
ELNX,Industrials,4.7054394880481836e-05,0.000564652738565782
OFLX,Industrials,4.7054394880481836e-05,0.000564652738565782
AMRC,Industrials,4.7054394880481836e-05,0.000564652738565782
NHHHF,Industrials,4.7054394880481836e-05,0.000564652738565782
HCCI,Industrials,4.7054394880481836e-05,0.000564652738565782
HSTH,Industrials,4.7054394880481836e-05,0.000564652738565782
FCN,Industrials,4.7054394880481836e-05,0.000564652738565782
KFY,Industrials,4.7054394880481836e-05,0.000564652738565782
THKLY,Industrials,4.7054394880481836e-05,0.000564652738565782
THPHF,Industrials,4.7054394880481836e-05,0.000564652738565782
EVRC,Industrials,4.7054394880481836e-05,0.000564652738565782
TREX,Industrials,4.7054394880481836e-05,0.000564652738565782
HSII,Industrials,4.7054394880481836e-05,0.000564652738565782
WCC,Industrials,4.7054394880481836e-05,0.000564652738565782
DPSTF,Industrials,4.7054394880481836e-05,0.000564652738565782
VCISY,Industrials,4.7054394880481836e-05,0.000564652738565782
MHH,Industrials,4.7054394880481836e-05,0.000564652738565782
GCTAY,Industrials,4.7054394880481836e-05,0.000564652738565782
ROLL,Industrials,4.7054394880481836e-05,0.000564652738565782
FLUX,Industrials,4.7054394880481836e-05,0.000564652738565782
SUNW,Industrials,4.7054394880481836e-05,0.000564652738565782
HYEG,Industrials,4.7054394880481836e-05,0.000564652738565782
LII,Industrials,4.7054394880481836e-05,0.000564652738565782
VSPC,Industrials,4.7054394880481836e-05,0.000564652738565782
GSLO,Industrials,4.7054394880481836e-05,0.000564652738565782
FINGF,Industrials,4.7054394880481836e-05,0.000564652738565782
TOKUF,Industrials,4.7054394880481836e-05,0.000564652738565782
BJCHF,Industrials,4.7054394880481836e-05,0.000564652738565782
CIR,Industrials,4.7054394880481836e-05,0.000564652738565782
PGTK,Industrials,4.7054394880481836e-05,0.000564652738565782
PLUG,Industrials,4.7054394880481836e-05,0.000564652738565782
PBHG,Industrials,4.7054394880481836e-05,0.000564652738565782
KTOS,Industrials,4.7054394880481836e-05,0.000564652738565782
UPS,Industrials,4.7054394880481836e-05,0.000564652738565782
TDY,Industrials,4.7054394880481836e-05,0.000564652738565782
INFO,Industrials,4.7054394880481836e-05,0.000564652738565782
PAC,Industrials,4.7054394880481836e-05,0.000564652738565782
PDPTF,Industrials,4.7054394880481836e-05,0.000564652738565782
STN,Industrials,4.7054394880481836e-05,0.000564652738565782
HEES,Industrials,4.7054394880481836e-05,0.000564652738565782
STJO,Industrials,4.7054394880481836e-05,0.000564652738565782
HBP,Industrials,4.7054394880481836e-05,0.000564652738565782
GTSO,Industrials,4.7054394880481836e-05,0.000564652738565782
BFTI,Industrials,4.7054394880481836e-05,0.000564652738565782
OUKPF,Industrials,4.7054394880481836e-05,0.000564652738565782
XTEG,Industrials,4.7054394880481836e-05,0.000564652738565782
FLIDY,Industrials,4.7054394880481836e-05,0.000564652738565782
CBRJ,Industrials,4.7054394880481836e-05,0.000564652738565782
VVDB,Industrials,4.7054394880481836e-05,0.000564652738565782
SAVW,Industrials,4.7054394880481836e-05,0.000564652738565782
MWA,Industrials,4.7054394880481836e-05,0.000564652738565782
VAPR,Industrials,4.7054394880481836e-05,0.000564652738565782
GEGP,Industrials,4.7054394880481836e-05,0.000564652738565782
ENCC,Industrials,4.7054394880481836e-05,0.000564652738565782
THLT,Industrials,4.7054394880481836e-05,0.000564652738565782
BCND,Industrials,4.7054394880481836e-05,0.000564652738565782
NEIK,Industrials,4.7054394880481836e-05,0.000564652738565782
ICFI,Industrials,4.7054394880481836e-05,0.000564652738565782
PCOA,Industrials,4.7054394880481836e-05,0.000564652738565782
CGRN,Industrials,4.7054394880481836e-05,0.000564652738565782
MTOR,Industrials,4.7054394880481836e-05,0.000564652738565782
GLDD,Industrials,4.7054394880481836e-05,0.000564652738565782
ERJ,Industrials,4.7054394880481836e-05,0.000564652738565782
ADFS,Industrials,4.7054394880481836e-05,0.000564652738565782
ISSC,Industrials,4.7054394880481836e-05,0.000564652738565782
MCELQ,Industrials,4.7054394880481836e-05,0.000564652738565782
DGPIF,Industrials,4.7054394880481836e-05,0.000564652738565782
EVSV,Industrials,4.7054394880481836e-05,0.000564652738565782
TMEN,Industrials,4.7054394880481836e-05,0.000564652738565782
ASR,Industrials,4.7054394880481836e-05,0.000564652738565782
OMAB,Industrials,4.7054394880481836e-05,0.000564652738565782
AIRI,Industrials,4.7054394880481836e-05,0.000564652738565782
INNI,Industrials,4.7054394880481836e-05,0.000564652738565782
LTBR,Industrials,4.7054394880481836e-05,0.000564652738565782
SFRX,Industrials,4.7054394880481836e-05,0.000564652738565782
GFSZY,Industrials,4.7054394880481836e-05,0.000564652738565782
BDRAF,Industrials,4.7054394880481836e-05,0.000564652738565782
RGP,Industrials,4.7054394880481836e-05,0.000564652738565782
SNTZ,Industrials,4.7054394880481836e-05,0.000564652738565782
ASAZY,Industrials,4.7054394880481836e-05,0.000564652738565782
HTZGQ,Industrials,4.7054394880481836e-05,0.000564652738565782
LTSCD,Industrials,4.7054394880481836e-05,0.000564652738565782
ABB,Industrials,4.7054394880481836e-05,0.000564652738565782
KGHI,Industrials,4.7054394880481836e-05,0.000564652738565782
PGTI,Industrials,4.7054394880481836e-05,0.000564652738565782
AXON,Industrials,4.7054394880481836e-05,0.000564652738565782
WSHE,Industrials,4.7054394880481836e-05,0.000564652738565782
MIHL,Industrials,4.7054394880481836e-05,0.000564652738565782
CP,Industrials,4.7054394880481836e-05,0.000564652738565782
PRTR,Industrials,4.7054394880481836e-05,0.000564652738565782
PRXG,Industrials,4.7054394880481836e-05,0.000564652738565782
GDSI,Industrials,4.7054394880481836e-05,0.000564652738565782
NJDCY,Industrials,4.7054394880481836e-05,0.000564652738565782
PACC,Industrials,4.7054394880481836e-05,0.000564652738565782
MMMW,Industrials,4.7054394880481836e-05,0.000564652738565782
AYI,Industrials,4.7054394880481836e-05,0.000564652738565782
GTMAY,Industrials,4.7054394880481836e-05,0.000564652738565782
APLD,Industrials,4.7054394880481836e-05,0.000564652738565782
SKAS,Industrials,4.7054394880481836e-05,0.000564652738565782
FLY,Industrials,4.7054394880481836e-05,0.000564652738565782
JANL,Industrials,4.7054394880481836e-05,0.000564652738565782
MGHL,Industrials,4.7054394880481836e-05,0.000564652738565782
TAMG,Industrials,4.7054394880481836e-05,0.000564652738565782
DSOX,Industrials,4.7054394880481836e-05,0.000564652738565782
ACPS,Industrials,4.7054394880481836e-05,0.000564652738565782
JBLU,Industrials,4.7054394880481836e-05,0.000564652738565782
HQI,Industrials,4.7054394880481836e-05,0.000564652738565782
SGLB,Industrials,4.7054394880481836e-05,0.000564652738565782
GAHC,Industrials,4.7054394880481836e-05,0.000564652738565782
EESH,Industrials,4.7054394880481836e-05,0.000564652738565782
SGLS,Industrials,4.7054394880481836e-05,0.000564652738565782
NPO,Industrials,4.7054394880481836e-05,0.000564652738565782
CBAT,Industrials,4.7054394880481836e-05,0.000564652738565782
ITNM,Industrials,4.7054394880481836e-05,0.000564652738565782
HESV,Industrials,4.7054394880481836e-05,0.000564652738565782
SOHVF,Industrials,4.7054394880481836e-05,0.000564652738565782
SMECF,Industrials,4.7054394880481836e-05,0.000564652738565782
XPO,Industrials,4.7054394880481836e-05,0.000564652738565782
TXHG,Industrials,4.7054394880481836e-05,0.000564652738565782
OSRS,Industrials,4.7054394880481836e-05,0.000564652738565782
NUGL,Industrials,4.7054394880481836e-05,0.000564652738565782
SAIA,Industrials,4.7054394880481836e-05,0.000564652738565782
PTTL,Industrials,4.7054394880481836e-05,0.000564652738565782
GGII,Industrials,4.7054394880481836e-05,0.000564652738565782
WTSHF,Industrials,4.7054394880481836e-05,0.000564652738565782
BRANF,Industrials,4.7054394880481836e-05,0.000564652738565782
EMHI,Industrials,4.7054394880481836e-05,0.000564652738565782
CLTS,Industrials,4.7054394880481836e-05,0.000564652738565782
EMRN,Industrials,4.7054394880481836e-05,0.000564652738565782
AGMJF,Industrials,4.7054394880481836e-05,0.000564652738565782
HSON,Industrials,4.7054394880481836e-05,0.000564652738565782
ABLZF,Industrials,4.7054394880481836e-05,0.000564652738565782
ARGKF,Industrials,4.7054394880481836e-05,0.000564652738565782
ASHTF,Industrials,4.7054394880481836e-05,0.000564652738565782
AUHEF,Industrials,4.7054394880481836e-05,0.000564652738565782
AUTLF,Industrials,4.7054394880481836e-05,0.000564652738565782
BAESF,Industrials,4.7054394880481836e-05,0.000564652738565782
BZLFF,Industrials,4.7054394880481836e-05,0.000564652738565782
CKSNF,Industrials,4.7054394880481836e-05,0.000564652738565782
ALNPY,Industrials,4.7054394880481836e-05,0.000564652738565782
ASGLY,Industrials,4.7054394880481836e-05,0.000564652738565782
ATLKY,Industrials,4.7054394880481836e-05,0.000564652738565782
ATLCY,Industrials,4.7054394880481836e-05,0.000564652738565782
BAESY,Industrials,4.7054394880481836e-05,0.000564652738565782
CODGF,Industrials,4.7054394880481836e-05,0.000564652738565782
CTPCY,Industrials,4.7054394880481836e-05,0.000564652738565782
DLAKY,Industrials,4.7054394880481836e-05,0.000564652738565782
DNPLY,Industrials,4.7054394880481836e-05,0.000564652738565782
EBCOY,Industrials,4.7054394880481836e-05,0.000564652738565782
FUWAY,Industrials,4.7054394880481836e-05,0.000564652738565782
GCTAF,Industrials,4.7054394880481836e-05,0.000564652738565782
SMGZY,Industrials,4.7054394880481836e-05,0.000564652738565782
GPOVY,Industrials,4.7054394880481836e-05,0.000564652738565782
HINOY,Industrials,4.7054394880481836e-05,0.000564652738565782
IHLDY,Industrials,4.7054394880481836e-05,0.000564652738565782
IMIAF,Industrials,4.7054394880481836e-05,0.000564652738565782
ITOCY,Industrials,4.7054394880481836e-05,0.000564652738565782
ICAEF,Industrials,4.7054394880481836e-05,0.000564652738565782
SLFFF,Industrials,4.7054394880481836e-05,0.000564652738565782
MHVYF,Industrials,4.7054394880481836e-05,0.000564652738565782
MIELY,Industrials,4.7054394880481836e-05,0.000564652738565782
MNBEY,Industrials,4.7054394880481836e-05,0.000564652738565782
NPSKY,Industrials,4.7054394880481836e-05,0.000564652738565782
NPNYY,Industrials,4.7054394880481836e-05,0.000564652738565782
SAGKF,Industrials,4.7054394880481836e-05,0.000564652738565782
SDVKY,Industrials,4.7054394880481836e-05,0.000564652738565782
SGHIY,Industrials,4.7054394880481836e-05,0.000564652738565782
SOMLY,Industrials,4.7054394880481836e-05,0.000564652738565782
TMRAY,Industrials,4.7054394880481836e-05,0.000564652738565782
TOPPY,Industrials,4.7054394880481836e-05,0.000564652738565782
TOTDY,Industrials,4.7054394880481836e-05,0.000564652738565782
TTNDY,Industrials,4.7054394880481836e-05,0.000564652738565782
TYEKF,Industrials,4.7054394880481836e-05,0.000564652738565782
VIAAY,Industrials,4.7054394880481836e-05,0.000564652738565782
CKHUF,Industrials,4.7054394880481836e-05,0.000564652738565782
RYCEF,Industrials,4.7054394880481836e-05,0.000564652738565782
AIPG,Industrials,4.7054394880481836e-05,0.000564652738565782
TOSBF,Industrials,4.7054394880481836e-05,0.000564652738565782
CYBL,Industrials,4.7054394880481836e-05,0.000564652738565782
ATSG,Industrials,4.7054394880481836e-05,0.000564652738565782
GMND,Industrials,4.7054394880481836e-05,0.000564652738565782
DTSL,Industrials,4.7054394880481836e-05,0.000564652738565782
MEEC,Industrials,4.7054394880481836e-05,0.000564652738565782
EJPRF,Industrials,4.7054394880481836e-05,0.000564652738565782
MAGOF,Industrials,4.7054394880481836e-05,0.000564652738565782
SSUMY,Industrials,4.7054394880481836e-05,0.000564652738565782
PCMC,Industrials,4.7054394880481836e-05,0.000564652738565782
OBYCF,Industrials,4.7054394880481836e-05,0.000564652738565782
BMMCF,Industrials,4.7054394880481836e-05,0.000564652738565782
STCI,Industrials,4.7054394880481836e-05,0.000564652738565782
GMXDF,Industrials,4.7054394880481836e-05,0.000564652738565782
SEXHF,Industrials,4.7054394880481836e-05,0.000564652738565782
HXGCF,Industrials,4.7054394880481836e-05,0.000564652738565782
SKUFF,Industrials,4.7054394880481836e-05,0.000564652738565782
HMBL,Industrials,4.7054394880481836e-05,0.000564652738565782
CAPV,Industrials,4.7054394880481836e-05,0.000564652738565782
QCPC,Industrials,4.7054394880481836e-05,0.000564652738565782
BOREF,Industrials,4.7054394880481836e-05,0.000564652738565782
HSCC,Industrials,4.7054394880481836e-05,0.000564652738565782
COLCF,Industrials,4.7054394880481836e-05,0.000564652738565782
ECCI,Industrials,4.7054394880481836e-05,0.000564652738565782
NUEC,Industrials,4.7054394880481836e-05,0.000564652738565782
DGWR,Industrials,4.7054394880481836e-05,0.000564652738565782
FEDC,Industrials,4.7054394880481836e-05,0.000564652738565782
CRTG,Industrials,4.7054394880481836e-05,0.000564652738565782
CHSTF,Industrials,4.7054394880481836e-05,0.000564652738565782
ETII,Industrials,4.7054394880481836e-05,0.000564652738565782
BSTN,Industrials,4.7054394880481836e-05,0.000564652738565782
ITCJ,Industrials,4.7054394880481836e-05,0.000564652738565782
NZIH,Industrials,4.7054394880481836e-05,0.000564652738565782
MERG,Industrials,4.7054394880481836e-05,0.000564652738565782
CHEAF,Industrials,4.7054394880481836e-05,0.000564652738565782
PMXX,Industrials,4.7054394880481836e-05,0.000564652738565782
NNRI,Industrials,4.7054394880481836e-05,0.000564652738565782
GPIW,Industrials,4.7054394880481836e-05,0.000564652738565782
SLLN,Industrials,4.7054394880481836e-05,0.000564652738565782
UMAV,Industrials,4.7054394880481836e-05,0.000564652738565782
VPER,Industrials,4.7054394880481836e-05,0.000564652738565782
SKYL,Industrials,4.7054394880481836e-05,0.000564652738565782
GRCO,Industrials,4.7054394880481836e-05,0.000564652738565782
WFCF,Industrials,4.7054394880481836e-05,0.000564652738565782
SEAOF,Industrials,4.7054394880481836e-05,0.000564652738565782
MSLOF,Industrials,4.7054394880481836e-05,0.000564652738565782
SBLK,Industrials,4.7054394880481836e-05,0.000564652738565782
STYS,Industrials,4.7054394880481836e-05,0.000564652738565782
DSX,Industrials,4.7054394880481836e-05,0.000564652738565782
KBR,Industrials,4.7054394880481836e-05,0.000564652738565782
CCOHF,Industrials,4.7054394880481836e-05,0.000564652738565782
BEEM,Industrials,4.7054394880481836e-05,0.000564652738565782
